C.D.S.  -  SIMBAD4 rel 1.8  -  2024.10.10CEST17:08:04

m13
---

Number of objects : 1909

 #  ;dist(asec);typed ident;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;  spec. type   ;#bib;#not
----;----------;-----------;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;---------------;----;----
123 ;     19.49;m13        ;NGC 6205 650                       ;UV ;16 41 42.841 +36 27 53.70              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
124 ;     19.72;m13        ;NGC 6205 516                       ;*  ;16 41 40.3027 +36 27 52.190            ;     ~   ;     ~   ;14.63    ;     ~   ;     ~   ;~              ;   2;   0
125 ;     20.11;m13        ;[KWR2014] M13 58695                ;*  ;16 41 40.1725 +36 27 31.087            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
126 ;     20.20;m13        ;Gaia DR3 1328057905736999680       ;EB*;16 41 41.2890448382 +36 28 00.517999103;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
127 ;     20.26;m13        ;NGC 6205 614                       ;*  ;16 41 42.25 +36 27 21.9                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
128 ;     20.43;m13        ;[J76] B163954.0+363301             ;Rad;16 41 41.2 +36 27 21                   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
129 ;     20.49;m13        ;NGC 6205 552                       ;*  ;16 41 41.10 +36 28 00.2                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
130 ;     20.83;m13        ;NGC 6205 486                       ;*  ;16 41 40.0019 +36 27 33.960            ;     ~   ;     ~   ;13.68    ;     ~   ;     ~   ;~              ;   3;   0
131 ;     20.90;m13        ;Cl* NGC 6205 PK 4                  ;V* ;16 41 42.96 +36 27 27.3                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
132 ;     20.94;m13        ;NGC 6205 493                       ;*  ;16 41 40.1810 +36 27 29.290            ;     ~   ;     ~   ;14.03    ;     ~   ;     ~   ;~              ;   3;   0
133 ;     21.03;m13        ;Cl* NGC 6205 CGY 5610              ;*  ;16 41 41.6863 +36 27 19.730            ;     ~   ;     ~   ;12.67    ;     ~   ;     ~   ;~              ;   1;   0
134 ;     21.15;m13        ;NGC 6205 624                       ;*  ;16 41 42.52 +36 27 22.5                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
135 ;     21.26;m13        ;Cl* NGC 6205 BARN 116              ;*  ;16 41 39.99 +36 27 33.1                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
136 ;     21.39;m13        ;[KWR2014] M13 59297                ;*  ;16 41 39.9797 +36 27 33.047            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
137 ;     21.40;m13        ;[J76] B163954.0+363300             ;Rad;16 41 41.2 +36 27 20                   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
